id,parent,order,level,counter,condition,reward kingdom_point,reward exp,reward gold,reward cash,reward food,reward ladder_point,reward boss_point,reward crusade_point,reward items,google,google progress,gamecenter,option
?daily-clear-daily,daily-clear-daily,1,10,,daily-clear-daily,10,,,,,,,,daily_achv_box 1,,,,
?daily-win-campaign,daily-win-campaign,1,10,20,daily-win-campaign,,100,,,,,,,sweep_ticket 5,,,,
?daily-win-elite-campaign,daily-win-elite-campaign,1,10,3,daily-win-elite-campaign,,100,,,,,,,sweep_ticket 5,,,,
?daily-upgrade-skill,daily-upgrade-skill,1,10,5,daily-upgrade-skill,,50,,,,,,,,,,,
?daily-open-party-hero,daily-open-party-hero,1,10,5,daily-open-party-hero,,50,,,,,,,,,,,
?daily-levelup-hero,daily-levelup-hero,1,10,5,daily-levelup-hero,,100,,,,,,,skill_book 3,,,,
?daily-upgrade-item,daily-upgrade-item,1,10,1,daily-upgrade-item,,50,,,,,,,enchant_powder_1 3,,,,
?daily-win-arena,daily-win-arena,1,15,3,daily-win-arena,,100,,,,,,,,,,,
?daily-enhanceup-hero,daily-enhanceup-hero,1,15,3,daily-enhanceup-hero,,100,,,,,,,enchant_powder_1 3,,,,
?daily-ladder,daily-ladder,1,20,3,daily-ladder,,150,,,,5,,,,,,,
?daily-gradeup-hero,daily-gradeup-hero,1,20,1,daily-gradeup-hero,,150,,,,,,,exp_potion_4 1,,,,
?daily-enchant-item,daily-enchant-item,1,20,1,daily-enchant-item,,50,,,,,,,,,,,
?daily-boss,daily-boss,1,25,3,daily-boss,,200,,,,,10,,,,,,
?daily-win-crusade,daily-win-crusade,1,30,1,daily-win-crusade,,250,,,,,,15,,,,,
?weekly-clear-weekly,weekly-clear-weekly,1,30,,weekly-clear-weekly,100,,,,,,,,weekly_achv_box 1,,,,
?weekly-win-campaign,weekly-win-campaign,1,30,300,weekly-win-campaign,,100,,,,,,,,,,,
?weekly-win-elite-campaign,weekly-win-elite-campaign,1,30,30,weekly-win-elite-campaign,,150,,,,,,,,,,,
?weekly-win-arena,weekly-win-arena,1,30,7,weekly-win-arena,,150,,,,,,,,,,,
?weekly-ladder,weekly-ladder,1,30,15,weekly-ladder,,200,,,,,,,,,,,
?weekly-win-boss,weekly-win-boss,1,30,20,weekly-win-boss,,200,,,,,,,,,,,
?weekly-win-crusade,weekly-win-crusade,1,30,30,weekly-win-crusade,,250,,,,,,,,,,,
?weekly-win-alliance,weekly-win-alliance,1,30,3,weekly-win-alliance,,250,,,,,,,,,,,
?weekly-win-dungeon,weekly-win-dungeon,1,50,5,weekly-win-dungeon,,350,,,,,,,,,,,
?weekly-open-party-hero-cash,weekly-open-party-hero-cash,1,30,3,weekly-open-party-hero-cash,,450,,,,,,,,,,,
?weekly-gradeup-hero-5,weekly-gradeup-hero-5,1,30,1,weekly-gradeup-hero-5,,400,,,,,,,,,,,
!level-up-1,level-up,1,2,5,level-up,50,,,50,,,,,,,,,
!level-up-2,level-up,2,2,10,level-up,100,,,50,,,,,,CgkI2ZO3uPMQEAIQBA,,,
!level-up-3,level-up,3,2,15,level-up,150,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,0.1,,
!level-up-4,level-up,4,2,20,level-up,200,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,0.2,,
!level-up-5,level-up,5,2,25,level-up,250,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,0.3,,
!level-up-6,level-up,6,2,30,level-up,300,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,0.4,,
!level-up-7,level-up,7,2,35,level-up,350,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,0.5,,
!level-up-8,level-up,8,2,40,level-up,400,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,0.6,,
!level-up-9,level-up,9,2,45,level-up,450,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,0.7,,
