id,name,description,short_description,category,sub_category,grade,star,sprite,sprite_product,order,enchant_level,enchant_point,max_stack,option,option_client_only,price,sell_price,cash,ladder_point,boss_point,crusade_point,arena_point,worth,disabled,buff,set_id,item_info,model,hero_limit,model_level,max_socket,level_limit,rank_limit,hero_grade_limit,hero_level_limit,invasion_point
@ga_hu,가후의 호패,가후의 호패,,hero_token,wizard,hero,,hero_ga_hu,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@gan_ong,간옹의 호패,간옹의 호패,,hero_token,wizard,normal,,hero_gan_ong,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@gam_nyeong,감녕의 호패,감녕의 호패,,hero_token,tank,legend,,hero_gam_nyeong,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@gang_yu,강유의 호패,강유의 호패,,hero_token,ranger,unique,,hero_gang_yu,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@go_ram,고람의 호패,고람의 호패,,hero_token,tank,rare,,hero_go_ram,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@go_sun,고순의 호패,고순의 호패,,hero_token,ranger,rare,,hero_go_sun,,,,,999,,,100000,10000,140,3,10,48,,100000,,,,,,,,,,,,,
@gong_son_wol,공손월의 호패,공손월의 호패,,hero_token,tank,normal,,hero_gong_son_wol,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@gong_son_chan,공손찬의 호패,공손찬의 호패,,hero_token,rogue,rare,,hero_gong_son_chan,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@gong_yung,공융의 호패,공융의 호패,,hero_token,wizard,normal,,hero_gong_yung,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@gwak_ga,곽가의 호패,곽가의 호패,,hero_token,wizard,hero,,hero_gwak_ga,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@gwak_sa,곽사의 호패,곽사의 호패,,hero_token,rogue,normal,,hero_gwak_sa,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@gwak_hoe,곽회의 호패,곽회의 호패,,hero_token,rogue,normal,,hero_gwak_hoe,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@gwan_u,관우의 호패,관우의 호패,,hero_token,tank,legend,,hero_gwan_u,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@gwan_pyeong,관평의 호패,관평의 호패,,hero_token,tank,rare,,hero_gwan_pyeong,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@gwan_hae,관해의 호패,관해의 호패,,hero_token,tank,rare,,hero_gwan_hae,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@gwan_heung,관흥의 호패,관흥의 호패,,hero_token,tank,normal,,hero_gwan_heung,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@goe_ryang,괴량의 호패,괴량의 호패,,hero_token,wizard,magic,,hero_goe_ryang,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@goe_wol,괴월의 호패,괴월의 호패,,hero_token,wizard,magic,,hero_goe_wol,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@geum_hwan_sam_gyeol,금환삼결의 호패,금환삼결의 호패,,hero_token,tank,normal,,hero_geum_hwan_sam_gyeol,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@gi_ryeong,기령의 호패,기령의 호패,,hero_token,rogue,magic,,hero_gi_ryeong,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@naeng_po,냉포의 호패,냉포의 호패,,hero_token,ranger,magic,,hero_naeng_po,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@no_suk,노숙의 호패,노숙의 호패,,hero_token,wizard,unique,,hero_no_suk,,,,,999,,,645000,64500,100,5,25,120,,645000,,,,,,,,,,,,,
@noe_dong,뇌동의 호패,뇌동의 호패,,hero_token,tank,normal,,hero_noe_dong,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@neung_jo,능조의 호패,능조의 호패,,hero_token,tank,magic,,hero_neung_jo,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@neung_tong,능통의 호패,능통의 호패,,hero_token,tank,rare,,hero_neung_tong,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@dae_gyo,대교의 호패,대교의 호패,,hero_token,wizard,unique,,hero_dae_gyo,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
